starting_year,party,chamber,evidence_minus_intuition_score,lower_bound,upper_bound
1879,Democrat,H,0.137432816029846,0.12673971933901726,0.14802454590851744
1879,Democrat,S,-0.03255739145952329,-0.04427152524706523,-0.020758327680959733
1879,Republican,H,0.011872521039289315,-0.00029019855692848025,0.0240188470099976
1879,Republican,S,-0.039117246404374854,-0.0500692792387936,-0.027806287396158785
1881,Democrat,H,0.13584446681050744,0.12471272374409983,0.1467730188346109
1881,Democrat,S,-0.13823227488844392,-0.14924317595982547,-0.12728807359457417
1881,Republican,H,0.16763526020591688,0.15625738895601535,0.1790156095639467
1881,Republican,S,0.011092871820081172,0.0004728315085218094,0.022039959740770828
1883,Democrat,H,0.0928295029970794,0.08234509832725762,0.10357747034664695
1883,Democrat,S,-0.1202495167424167,-0.13205492720079104,-0.10827252403049793
1883,Republican,H,0.045543211574701904,0.033546570429172695,0.05739082053715257
1883,Republican,S,0.11885956489192596,0.10850517075995174,0.12947024100469473
1885,Democrat,H,0.15144361975759732,0.14116346224178744,0.161607807278161
1885,Democrat,S,-0.07858877263439118,-0.09298070785589503,-0.06401781857101654
1885,Republican,H,0.0737064621196323,0.06120278229550066,0.08623378853882005
1885,Republican,S,0.09773836545658614,0.08755371253034441,0.10790446556367396
1887,Democrat,H,0.12803476864050722,0.11841955932503044,0.13769083888530967
1887,Democrat,S,-0.11783087782120714,-0.13094468963858374,-0.10461773024130917
1887,Republican,H,-0.022799861431789328,-0.0340973093851542,-0.011346390375182657
1887,Republican,S,0.00040283717978900776,-0.01042155760486873,0.011200163869311839
1889,Democrat,H,-0.032247375098267174,-0.041948137628035176,-0.022576788706719034
1889,Democrat,S,-0.1406773341234932,-0.15128571523393394,-0.13004763955328325
1889,Republican,H,-0.01325310124120584,-0.023677116862482566,-0.0031244649776400743
1889,Republican,S,-7.859731533339303e-05,-0.009479967638250836,0.00918422316465648
1891,Democrat,H,0.05686375563442272,0.04732157244327661,0.0668297576224557
1891,Democrat,S,-0.03896545903301362,-0.05282341198595352,-0.024712484575553712
1891,Republican,H,0.038613263745837546,0.024613515177769146,0.052514312799706926
1891,Republican,S,0.1035748533469967,0.09152849665536789,0.1156049324457503
1893,Democrat,H,-0.033548445464735926,-0.04231296503490066,-0.024375305507390033
1893,Democrat,S,-0.17285660205388767,-0.18425464767119182,-0.16124765118127876
1893,Republican,H,-0.11158811606996785,-0.12298877833488217,-0.10047498141725848
1893,Republican,S,-0.1837350639679011,-0.19417159044128054,-0.17331772713945573
1895,Democrat,H,0.024759654315384266,0.01144006929470315,0.03794667454186613
1895,Democrat,S,-0.0743363588820007,-0.08746522507197423,-0.06083837000600875
1895,Republican,H,0.08219403934984167,0.07106392586418385,0.09309506448524035
1895,Republican,S,-0.007062058051173294,-0.020055070045376693,0.005645894438471973
1897,Democrat,H,-0.18061386241364147,-0.19285832194959515,-0.16867568007814004
1897,Democrat,S,-0.23967915201116488,-0.25103361017464393,-0.2284701758749719
1897,Republican,H,0.041004191124062735,0.0311636762683322,0.05076989294135054
1897,Republican,S,-0.03245182376286303,-0.04457698861276482,-0.020580465905854613
1899,Democrat,H,-0.29181229179018114,-0.3057579020844789,-0.27810899049089277
1899,Democrat,S,-0.2754035178458379,-0.2910258674769691,-0.25963664120831376
