"starting_year","party_control","House_party.mean.diff.d1","Senate_party.mean.diff.d1","LPI","MLI","share_ptinc_top1pct","income_gini","number_of_patents","no_of_sig_legislations","evidence_minus_intuition_score","Avg_pol","congress_number","count","nlaw","nlawpre","controlDif","MLIpre","LPIpre"
1879,"DIV",0.785882503192848,0.747942857142857,45.736,5.345,NA,NA,25059,NA,0.0260170087976697,0.766912680167853,46,372,372,NA,NA,NA,NA
1881,"UNI",0.782713790233074,0.76357134502924,63.28,7.411,NA,NA,33683,NA,0.039137079096174,0.773142567631157,47,419,419,372,TRUE,5.345,45.736
1883,"DIV",0.724404256157635,0.760469444444444,59.445,6.985,NA,NA,40282,NA,0.0430596609904708,0.74243685030104,48,284,284,419,TRUE,7.411,63.28
1885,"DIV",0.749321266968326,0.74388717948718,70.853,7.868,NA,NA,45050,NA,0.0844851056439149,0.746604223227753,49,424,424,284,FALSE,6.985,59.445
1887,"DIV",0.764893464052288,0.747412837837838,76.054,7.777,NA,NA,39951,NA,0.0177564154103696,0.756153150945063,50,570,570,424,FALSE,7.868,70.853
1889,"UNI",0.795277945716491,0.765068520357498,88.06,9.323,NA,NA,48630,NA,-0.0414194341998495,0.780173233036994,51,611,611,570,TRUE,7.777,76.054
1891,"DIV",0.766378838193149,0.751764172335601,70.52,7.432,NA,NA,44955,NA,0.0474750483678401,0.759071505264375,52,398,398,611,TRUE,9.323,88.06
1893,"UNI",0.791337719298246,0.761229166666667,70.617,7.366,NA,NA,42580,NA,-0.11115673720984,0.776283442982456,53,463,463,398,TRUE,7.432,70.52
1895,"DIV",0.838072604474462,0.769031818181818,65.441,6.627,NA,NA,42680,NA,0.0160267282802995,0.80355221132814,54,434,434,463,TRUE,7.366,70.617
1897,"UNI",0.819565608919382,0.807162749706228,81.268,8.455,NA,NA,42440,NA,-0.0892302188141155,0.813364179312805,55,552,552,434,TRUE,6.627,65.441
1899,"UNI",0.801701829213348,0.814928571428571,79.546,8.383,NA,NA,47944,NA,-0.121625467465313,0.80831520032096,56,443,443,552,FALSE,8.455,81.268
1901,"UNI",0.81625807038835,0.773166666666667,86.2,8.963,NA,NA,52675,NA,-0.0827863898648022,0.794712368527508,57,423,423,443,FALSE,8.383,79.546
1903,"UNI",0.813539188615123,0.794262121212121,79.78,7.744,NA,NA,61291,NA,-0.0262284578009187,0.803900654913622,58,502,502,423,FALSE,8.963,86.2
1905,"UNI",0.824512814056292,0.803085245901639,95.857,9.351,NA,NA,60946,NA,0.0469960152518801,0.813799029978966,59,692,692,502,FALSE,7.744,79.78
1907,"UNI",0.798701242236025,0.786879914529915,82.367,8.497,NA,NA,68596,NA,0.0983671786585072,0.79279057838297,60,350,350,692,FALSE,9.351,95.857
1909,"UNI",0.779352911570789,0.778586466165414,94.275,9.782,NA,NA,71692,NA,0.0457125636771023,0.778969688868101,61,527,527,350,FALSE,8.497,82.367
1911,"DIV",0.739006815968841,0.717068111455108,95.776,10.09,NA,NA,69051,NA,0.00496909551575278,0.728037463711975,62,457,457,527,TRUE,9.782,94.275
1913,"UNI",0.711658216572777,0.687832792207792,97.979,10.885,0.2043,0.556554840399,73814,NA,-0.0321544177696592,0.699745504390284,63,342,342,457,TRUE,10.09,95.776
1915,"UNI",0.723630598290598,0.70635632183908,107.041,11.748,0.2028,0.555649849786,87009,NA,-0.025711508530836,0.714993460064839,64,400,400,342,FALSE,10.885,97.979
1917,"UNI",0.715689247633283,0.69724485524939,121.297,13.667,0.213,0.570619734636,79377,NA,-0.0515477853991479,0.706467051441336,65,350,350,400,FALSE,11.748,107.041
1919,"DIV",0.715348039215686,0.718318431372549,111.761,11.739,0.2164,0.577416019724,73852,NA,-0.000643980645630033,0.716833235294118,66,401,401,350,TRUE,13.667,121.297
1921,"UNI",0.704152104012303,0.707152680652681,132.462,13.509,0.1918,0.586377594906,76153,NA,-0.0408550404553598,0.705652392332492,67,549,549,401,TRUE,11.739,111.761
1923,"UNI",0.69569494274243,0.667177374852188,129.296,12.289,0.1771,0.559974906147,81186,NA,-0.0488846298025657,0.681436158797309,68,632,632,549,FALSE,13.509,132.462
1925,"UNI",0.675214918918919,0.666618375905452,132.33,11.491,0.2069,0.59001602825,91165,NA,-0.0140573547212275,0.670916647412185,69,809,809,632,FALSE,12.289,129.296
1927,"UNI",0.668382287606354,0.665178066037736,139.603,11.442,0.2124,0.589441765481,84044,NA,-0.0384922713179574,0.666780176822045,70,1037,1037,809,FALSE,11.491,132.33
1929,"UNI",0.652523215291835,0.681899147727273,138.826,11.73,0.2218,0.588633739975,90493,NA,-0.0118723164228193,0.667211181509554,71,869,869,1037,FALSE,11.442,139.603
1931,"DIV",0.616024458874459,0.594519230769231,136.649,13.088,0.1677,0.582707223246,105214,NA,-0.0583661691423932,0.605271844821845,72,442,442,869,TRUE,11.73,138.826
1933,"UNI",0.582579244306418,0.539884407484407,173.931,18.172,0.1748,0.595627657966,93193,NA,-0.116830273932281,0.561231825895413,73,486,486,442,TRUE,13.088,136.649
1935,"UNI",0.560696985583224,0.50504,173.349,16.673,0.1933,0.588134200391,80401,NA,-0.0616802204897954,0.532868492791612,74,853,853,486,FALSE,18.172,173.931
1937,"UNI",0.569508222643896,0.494528694404591,164.365,15.355,0.2064,0.585553292393,75745,NA,0.000257571292145783,0.532018458524244,75,788,788,853,FALSE,16.673,173.349
1939,"UNI",0.557287463472857,0.474419076610857,157.97,14.179,0.1957,0.591937143205,85310,NA,-0.0685365353815135,0.515853270041857,76,894,894,788,FALSE,15.355,164.365
1941,"UNI",0.570508540372671,0.471810502283105,161.1,15.372,0.2156,0.578224720855,79557,NA,-0.0412240020115524,0.521159521327888,77,850,850,894,FALSE,14.179,157.97
1943,"UNI",0.550294744889747,0.486871428571429,143.567,14.019,0.186,0.49735454489,59107,NA,0.017168173719025,0.518583086730588,78,568,568,850,FALSE,15.372,161.1
