FirstYear,LastYear,Mood
1951,1952,57.797
1953,1954,57.196
1955,1956,61.505
1957,1958,61.311
1959,1960,67.387
1961,1962,70.591
1963,1964,66.193
1965,1966,65.448
1967,1968,63.481
1969,1970,54.825
1971,1972,58.962
1973,1974,56.865
1975,1976,57.192
1977,1978,54.072
1979,1980,52.235
1981,1982,54.582
1983,1984,58.209
1985,1986,59.796
1987,1988,63.113
1989,1990,64.038
1991,1992,64.727
1993,1994,58.100
1995,1996,56.772
1997,1998,58.649
1999,2000,60.892
2001,2002,60.551
2003,2004,63.472
2005,2006,64.402
2007,2008,63.307
2009,2010,59.447
2011,2012,58.768
2013,2014,57.968
2015,2016,60.940
2017,2018,66.259
2019,2020,68.531
2021,2022,66.449
