ResponseId,evidence_free,evidence_based,speech_id,text,item_id,party,chamber,decade_group,starting_year,bin,evidence_minus_intuition_score
R_2X5rTngdl8IcYFR,3.0,4.0,1020210871,"or such other counsel as it shall designate. or intervention in. any litigation involving rates. preferences. rebates. or other matters vital to the interest of the Port District. provided. that notice of any such institution of or intervention in litigation shall be given promptly to the Attorney General of the Commonwealth of Pennsylvania and to the Attorney General of the State of New Jersey. and provision for such notices shall be made in a resolution authorizing any such intervention or litigation and shall be incorporated in the minutes of the commission. ""(j) The establishment. maintenance. rehabilitation. construction and operation of a rapid transit system for the transportation of passengers. express mail. and baggage. or any of them. between points in New Jersey within the Port District and points in Pennsylvania within the Port District. and intermediate points. Such system may be established either by utilizing existing rapid transit systems. railroad",533,Republican,S,11,1991,"(1.489, 3.396]",1.7497779999999998
R_2X5rTngdl8IcYFR,4.0,3.0,1040091825,background. and that brings us to today. After a week of debate and amendments as well as the negotiations that preceded floor action. the DoleJohnston substitute has been modified in a nunriber of ways. There are. however. major issues that still distinguish the two bills and recommend support for the GlennChafee substitute. In my mind. there are five major areas of difference remaining. First is the issue of how agencies should use regulatory analysis. We believe that agencies should be required to perform risk assessments and costbenefit analyses for all major rules. These analyses should inform agency decisionmaking -inform agency decisionmaking. They should not unilaterally control those decisions and impose leastcost solutions to every problem. Let us put some common sense into this process. We should not unilaterally control those decisions and impose leastcost solutions to every problem. Second is the question of look back. We believe that agencies should,232,Democrat,S,11,1995,"(-0.00931, 1.955]",1.9845988999999997
R_2X5rTngdl8IcYFR,4.0,2.0,1060146440,plants and pests by giving the Animal and Plant Health Inspection Service greatly enhanced investigatory and enforcement tools. The Plant Protection Act will streamline and consolidate- existing statutes into one comprehensive law and eliminate outdated and ambiguous provisions. It will also boost deterrents against trafficking of prohibited species by increasing monetary penalties for smuggling. and it will provide USDA with a comprehensive set of investigatory tools and ensure transparency for our trading partners. Mr. Speaker. I believe that this provision of the conference committee report is an important step forward in protecting American agriculture. and I thank the chairman for his support for this.,555,Republican,H,12,1999,"(1.526, 3.764]",2.0313845
R_2X5rTngdl8IcYFR,3.0,2.0,1070118264,Mr. Speaker. now did not this silly rule that the silly Republicans have on the other side-,539,Republican,H,12,2001,"(-5.2, -2.952]",-1.7053726000000002
R_2X5rTngdl8IcYFR,3.0,2.0,1090047842,to takecredit for. that says we are taking away the privacy of seniors to profit private insurance companies and make it easier for them. Private insurance companies have vast resources. They can find these seniors in other ways. The outreach can be done without violating their privacy. That is what we are talking about here. plain and simple: the privacy of Americas most vulnerable. Many seniors are aged. They are not well. They are at risk in this whole process. and they do not want those telemarketing phone calls. So if we continue with this program. the administration is going to waive those rights. those protections for our seniors. plain and simple. This amendment only restricts the waivers of privacy and an incredible extension of waiving all privacy laws relating to people on Medicare or Medicaid and giving discretion to the Secretary of Health and Human Services to turn over,252,Democrat,H,12,2005,"(-0.287, 1.569]",0.10635424
R_2X5rTngdl8IcYFR,4.0,2.0,480037258,We know that we will reduce the revenue about $120.000.000 annually. We know that we will save over $5.000.000 paid annually to over 5.000 internalrevenue officers employed to collect it. and at least five millions more that is paid out annually in costs. fees of professional witnesses. spies. informers. marshals. attorneys. and others. Thus at one swoop we would save at least $10.000.000 in salaries and expenses. which could be added to other receipts of the Government. The repeal of this law would rid the country of many thousand men employed in the execution of the law who care tbr nothing save the money they can make out of it. whether honestly or not. and who are a curse to the country and a disgrace to the Government. Do this and the people who have been harassed and bedeviled by this class of men will once more feel like free,14,Democrat,H,0,1883,"(-0.572, 1.636]",-0.66071606
R_2X5rTngdl8IcYFR,3.0,4.0,510082149,Oh. yes. Mr. President. I had forgotten that there was a Democratic party in 1878 and 1879 . and I will not believe there was-,322,Republican,S,1,1889,"(-2.727, -0.673]",-2.8724582
R_2X5rTngdl8IcYFR,4.0,2.0,510105405,"this mode of dealing with the boys was very bad for them. It is needless to say that our visitor of large promises did not interview the Great Father at Washington. or any one else. on the subject of clothing: it was only with the utmost difficulty that we could have the necessities of the boys in this line supplied. Indeed. the matter of clothing was alway.i a sore subject all around. That which was supplied by the Government was always of poor material and wretchedly made. so that the normal condition of the poor youths seemed to be that of tatters. Some of the boys were harder on their clothes than others. One young fellow would go out quite tolerably clad and return in a few hours in astate of raggery altogether indescribable. Expostulation. reproof. all fell short of effect. ""John. what have you beendoing to your clothes ?""",27,Democrat,S,1,1889,"(-3.066, -0.877]",-1.3299584
R_2X5rTngdl8IcYFR,2.0,3.0,560007231,habit of telling the negro that if the Democrats came into power their right to vote would be taken away from them. After the Democrats came into power in this State they always had some reason to give the credulous beings why the Democrats had not disfranchised them as they had before predicted. First. the told them that if the Democrats got the State government they would disfranchise them. The Democrats got the State government and did not disfranchise them. Then they told them that if the Demcrats elected a President they would disfranchise them. The Democrats elected a President and did not disfranchise them. Then they told them if the Democrats got control of Congress they would disfranchise them. The Democrats got control of Congess and did not disfranchise them. All along the honest white man of the State laughed at these lies and marveled that the negro did,339,Republican,S,2,1899,"(-4.935, -2.815]",-2.54805
R_2X5rTngdl8IcYFR,3.0,4.0,590182585,Not by our fault. I will say to the gentlemail. and we will gladly surrender at least 100.000.000 acres of triose reserves.,341,Republican,H,2,1907,"(-4.935, -2.815]",-1.2885758999999999
