starting_year,speech_count
1879,76848
1881,85188
1883,74093
1885,72661
1887,81694
1889,99515
1891,75725
1893,97415
1895,66978
1897,83894
1899,61640
1901,67931
1903,52917
1905,79755
1907,68700
1909,131127
1911,146478
1913,203833
1915,135559
1917,197392
1919,160950
1921,193442
1923,99344
1925,108475
1927,87988
1929,143904
1931,112699
1933,109057
1935,104449
1937,104485
1939,122247
1941,105828
1943,106658
1945,111082
1947,87406
1949,145200
1951,112953
1953,111123
1955,87754
1957,117265
1959,120726
1961,121316
1963,125593
1965,123927
1967,133344
1969,139847
1971,123020
1973,139064
1975,147152
1977,154680
1979,135146
1981,124341
1983,126197
1985,128712
1987,122233
1989,109890
1991,108921
1993,107159
1995,126809
1997,93193
1999,94512
2001,78754
2003,86055
2005,81743
2007,92080
2009,69128
2011,54510
2013,47191
2015,93420
2017,50003
2019,41953
2021,35543
